timestamp,site,url,title,type,length,language,score
2025-05-17 10:37:22,https://www.bbc.com/news,https://www.bbc.com/news/world/middle_east,"Hamas says its negotiators have opened a new round of talks aimed at ending the war, and all issues ",news,647,en,0.10444214876033056
2025-05-17 10:37:22,https://www.bbc.com/news,https://www.bbc.com/news/in_pictures,"A collection of images of Pembrokeshire from west Wales photographer, Mike Alexander  A selection of",news,407,en,0.18067765567765567
2025-05-17 10:37:22,https://www.bbc.com/news,https://www.bbc.com/news/bbcindepth,"After seven breathless days of diplomatic hurly burly, we have a clearer idea of the US president's ",news,484,en,0.028440290940290935
2025-05-17 10:37:22,https://www.bbc.com/news,https://www.bbc.com/news/bbcverify,Satellite images show building at sites in south Gaza after US says controversial Israeli aid plan t,news,837,en,0.04290701128936423
2025-05-17 10:37:22,https://www.bbc.com/news,https://www.bbc.com/newsletters,Newsletters from the BBC,news,4,en,0.0
2025-05-17 10:37:22,https://www.bbc.com/news,https://www.bbc.com/news/articles/cd7geg3lvz1o,"Hamas says its negotiators have opened a new round of talks aimed at ending the war in Gaza, hours a",news,768,en,0.012142652944539744
2025-05-17 10:37:22,https://www.bbc.com/news,https://www.bbc.com/news/articles/clyv789ejgxo,"""There are decades where nothing happens; and there are weeks where decades happen."" So supposedly s",news,1804,en,0.05794593931848833
2025-05-17 10:37:22,https://www.bbc.com/news,https://www.bbc.com/news/articles/cvgvdr3gwneo,"In a trial that is undoing the legacy of one of music's biggest moguls of the 2000s, the focus of th",news,1698,en,0.043342911877394634
2025-05-17 10:37:22,https://www.bbc.com/news,https://www.bbc.com/news/videos/c2d54g6rkkyo,"After a tense first week, Sean ""Diddy"" Combs lawyers finished their cross-examination on the prosecu",news,438,en,0.07830650252525252
2025-05-17 10:37:22,https://www.bbc.com/news,https://www.bbc.com/news/articles/c4ge0xk4ld1o,"The US has lost its last perfect credit rating, as influential ratings firm Moody's expressed concer",news,415,en,0.10757936507936508
2025-05-17 10:37:22,https://www.bbc.com/news,https://www.bbc.com/news/articles/clyv789ejgxo,"""There are decades where nothing happens; and there are weeks where decades happen."" So supposedly s",news,1804,en,0.05794593931848833
2025-05-17 10:37:22,https://www.bbc.com/news,https://www.bbc.com/news/articles/c70nw7v5ykyo,At least 21 people are reported to have died and dozens others injured after tornadoes tore through ,news,573,en,0.036382623224728496
2025-05-17 10:37:22,https://www.bbc.com/news,https://www.bbc.com/news/articles/c8d14yyverro,A rescue mission is under way to reach several people buried in an avalanche on the Eiger mountain i,news,125,en,0.12777777777777777
2025-05-17 10:37:22,https://www.bbc.com/news,https://www.bbc.com/news/articles/c70nwr7zg7lo,Donald Trump says he will be speaking to Russian leader Vladimir Putin on Monday about ending the wa,news,395,en,-0.013714285714285719
